epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,725.574,1.32552,0.84763,1.06539,0.61589,0.33405,0.34507,0.20259,1.27244,0.7632,1.04037,0.0700034,0.00333295,0.00333295
2,1540.88,1.30406,0.82207,1.05739,0.64987,0.33519,0.36843,0.21992,1.25359,0.72185,1.03228,0.0398714,0.00653429,0.00653429
3,2362.49,1.3035,0.81552,1.05549,0.64487,0.34617,0.37388,0.22447,1.2488,0.71281,1.03076,0.00960744,0.00960363,0.00960363
4,3171.29,1.29981,0.81233,1.05501,0.66257,0.34572,0.37586,0.22611,1.24192,0.71095,1.02843,0.009406,0.009406,0.009406
5,3979,1.2975,0.8098,1.0528,0.65769,0.34632,0.37869,0.22756,1.24463,0.70874,1.02953,0.009208,0.009208,0.009208
6,4786.14,1.29844,0.81029,1.05331,0.65492,0.34941,0.3802,0.22868,1.24033,0.7061,1.02727,0.00901,0.00901,0.00901
7,5579.36,1.29552,0.80765,1.05169,0.66842,0.34709,0.38153,0.22931,1.23863,0.70378,1.02637,0.008812,0.008812,0.008812
8,6385.29,1.29643,0.80934,1.05339,0.65261,0.35099,0.38071,0.22933,1.23659,0.70282,1.02564,0.008614,0.008614,0.008614
9,7188,1.29591,0.80707,1.05182,0.64871,0.35152,0.38142,0.2301,1.23461,0.70016,1.02502,0.008416,0.008416,0.008416
10,7998.68,1.2903,0.80281,1.05058,0.66844,0.34572,0.38307,0.23091,1.23371,0.69844,1.02469,0.008218,0.008218,0.008218
11,8797.32,1.28766,0.79935,1.04829,0.66205,0.35027,0.38466,0.23134,1.23287,0.69748,1.02417,0.00802,0.00802,0.00802
12,9606.86,1.28654,0.79895,1.04895,0.65982,0.35126,0.38488,0.23202,1.23238,0.69668,1.02401,0.007822,0.007822,0.007822
13,10417,1.28494,0.79651,1.04797,0.66103,0.35021,0.38515,0.23222,1.23212,0.69626,1.02385,0.007624,0.007624,0.007624
14,11230.1,1.28181,0.79493,1.04807,0.66181,0.3519,0.38565,0.23264,1.2315,0.69564,1.02366,0.007426,0.007426,0.007426
15,12039.9,1.28199,0.79473,1.0472,0.6631,0.35183,0.38641,0.23309,1.23105,0.69517,1.02349,0.007228,0.007228,0.007228
16,12823,1.27874,0.79066,1.0465,0.66123,0.35291,0.38681,0.2332,1.23081,0.69473,1.02335,0.00703,0.00703,0.00703
17,13631.3,1.27886,0.78925,1.04533,0.66226,0.3539,0.38713,0.23329,1.23052,0.69411,1.02312,0.006832,0.006832,0.006832
18,14432.4,1.27914,0.78874,1.0447,0.66575,0.35525,0.38801,0.23375,1.23002,0.69354,1.02283,0.006634,0.006634,0.006634
19,15245.7,1.27596,0.78714,1.04528,0.66711,0.35481,0.38854,0.23419,1.22956,0.69311,1.02266,0.006436,0.006436,0.006436
20,16051.4,1.27309,0.78429,1.04372,0.66409,0.35618,0.38861,0.23435,1.22912,0.69284,1.02243,0.006238,0.006238,0.006238
21,16857.8,1.2715,0.78425,1.04346,0.66309,0.35698,0.38904,0.23486,1.22878,0.69234,1.02231,0.00604,0.00604,0.00604
22,17659.8,1.2704,0.78005,1.04217,0.66926,0.3559,0.38965,0.23507,1.22854,0.69195,1.02217,0.005842,0.005842,0.005842
23,18460.3,1.2692,0.78067,1.04201,0.67142,0.355,0.38977,0.23528,1.22823,0.69134,1.022,0.005644,0.005644,0.005644
24,19261.6,1.26558,0.77841,1.04201,0.6718,0.35436,0.39017,0.23573,1.22815,0.69076,1.02189,0.005446,0.005446,0.005446
25,20064.6,1.26611,0.77597,1.04024,0.67237,0.35527,0.3905,0.23583,1.22786,0.69036,1.02171,0.005248,0.005248,0.005248
26,20873.6,1.26618,0.77448,1.03951,0.67513,0.3547,0.39081,0.23586,1.22754,0.68999,1.02148,0.00505,0.00505,0.00505
27,21673.5,1.26381,0.77461,1.03943,0.67374,0.35565,0.39108,0.23613,1.22719,0.68972,1.02122,0.004852,0.004852,0.004852
28,22479.9,1.26382,0.77225,1.03877,0.67026,0.35763,0.39145,0.23607,1.22689,0.68947,1.02099,0.004654,0.004654,0.004654
29,23287.3,1.26063,0.7697,1.03752,0.67293,0.3564,0.39186,0.23628,1.22667,0.68917,1.02084,0.004456,0.004456,0.004456
30,24096.1,1.26023,0.76793,1.03716,0.67165,0.35821,0.39188,0.23657,1.22651,0.68882,1.02074,0.004258,0.004258,0.004258
31,24902.7,1.25873,0.76734,1.03763,0.67279,0.35724,0.39237,0.23677,1.22619,0.68851,1.02054,0.00406,0.00406,0.00406
32,25715.7,1.25543,0.76309,1.03544,0.66959,0.35871,0.39261,0.237,1.22585,0.68819,1.02027,0.003862,0.003862,0.003862
33,26531.7,1.2559,0.76317,1.03577,0.67207,0.35862,0.39294,0.23722,1.22568,0.68793,1.02009,0.003664,0.003664,0.003664
34,27341.5,1.2521,0.76052,1.03475,0.6722,0.3581,0.39328,0.23751,1.2255,0.68762,1.01996,0.003466,0.003466,0.003466
35,28148.4,1.25384,0.75992,1.03502,0.67166,0.35857,0.39361,0.23745,1.22522,0.68729,1.01974,0.003268,0.003268,0.003268
36,28961.8,1.24862,0.75831,1.03352,0.67211,0.35793,0.39375,0.23761,1.22512,0.68686,1.01958,0.00307,0.00307,0.00307
37,29760.9,1.24659,0.75605,1.03306,0.67598,0.35686,0.39425,0.23792,1.22484,0.68649,1.01939,0.002872,0.002872,0.002872
38,30559.2,1.24799,0.75549,1.03427,0.67699,0.35749,0.39469,0.23808,1.22447,0.68617,1.01918,0.002674,0.002674,0.002674
39,31367.1,1.24463,0.7533,1.03224,0.68217,0.3566,0.39509,0.23825,1.22416,0.68595,1.01903,0.002476,0.002476,0.002476
40,32170.3,1.24201,0.75165,1.03098,0.68008,0.35887,0.39543,0.23844,1.22392,0.68568,1.01885,0.002278,0.002278,0.002278
41,32960.9,1.28139,0.72562,1.03346,0.6832,0.35688,0.39565,0.23853,1.22353,0.68553,1.01862,0.00208,0.00208,0.00208
42,33754.3,1.27722,0.72121,1.03217,0.68135,0.35877,0.3961,0.23887,1.22323,0.68523,1.0184,0.001882,0.001882,0.001882
43,34547.3,1.27573,0.7189,1.03122,0.68487,0.35812,0.39652,0.23922,1.22278,0.68477,1.01814,0.001684,0.001684,0.001684
44,35338.9,1.27294,0.71744,1.03037,0.68435,0.35911,0.39677,0.23949,1.22244,0.68464,1.01785,0.001486,0.001486,0.001486
45,36138.8,1.27258,0.71568,1.02971,0.6839,0.36038,0.39733,0.23982,1.22208,0.68436,1.0176,0.001288,0.001288,0.001288
46,36931.8,1.26916,0.71219,1.02789,0.68396,0.36103,0.3977,0.2401,1.22165,0.68393,1.01736,0.00109,0.00109,0.00109
47,37724.2,1.26701,0.71116,1.02723,0.68528,0.36066,0.39806,0.24048,1.22133,0.6837,1.01717,0.000892,0.000892,0.000892
48,38513.2,1.26665,0.71038,1.02744,0.68608,0.36082,0.39831,0.24069,1.22109,0.68339,1.01698,0.000694,0.000694,0.000694
49,39300.8,1.26494,0.7081,1.02671,0.68783,0.36119,0.39864,0.2409,1.2208,0.68322,1.01677,0.000496,0.000496,0.000496
50,40094.7,1.26498,0.70769,1.02592,0.68857,0.36142,0.39899,0.24104,1.22078,0.68311,1.0167,0.000298,0.000298,0.000298
