epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,38643.2,1.30513,0.82645,1.03302,0.63374,0.32691,0.35214,0.21359,1.25522,0.74714,0.99895,0.005842,0.005842,0.005842
44,39555.4,1.30514,0.82719,1.03119,0.63608,0.32708,0.35363,0.21461,1.25456,0.74428,0.99829,0.005743,0.005743,0.005743
45,40467.9,1.30387,0.82579,1.03237,0.63822,0.32688,0.35501,0.21566,1.25374,0.74225,0.99764,0.005644,0.005644,0.005644
46,41380.4,1.30374,0.82397,1.032,0.641,0.3276,0.35669,0.21661,1.25275,0.74007,0.99707,0.005545,0.005545,0.005545
47,42294.3,1.30064,0.82163,1.03119,0.64216,0.33107,0.3584,0.21769,1.25165,0.73791,0.9965,0.005446,0.005446,0.005446
48,43208.2,1.3011,0.82405,1.03155,0.64088,0.33337,0.36032,0.21839,1.25088,0.73591,0.996,0.005347,0.005347,0.005347
49,44122.3,1.29904,0.81846,1.0307,0.63348,0.33581,0.36113,0.21894,1.25012,0.73401,0.99544,0.005248,0.005248,0.005248
50,45035,1.29523,0.81712,1.02939,0.64591,0.33221,0.36249,0.21955,1.24925,0.7326,0.99488,0.005149,0.005149,0.005149
51,45948.6,1.2952,0.81704,1.0297,0.64646,0.33457,0.36384,0.22039,1.24861,0.73103,0.99433,0.00505,0.00505,0.00505
52,46861.1,1.296,0.81537,1.02993,0.64583,0.33466,0.36483,0.22114,1.2479,0.7296,0.99407,0.004951,0.004951,0.004951
53,47772.9,1.29382,0.81512,1.02934,0.6469,0.33529,0.36608,0.22165,1.24744,0.72871,0.99368,0.004852,0.004852,0.004852
54,48685.6,1.29095,0.81323,1.02686,0.64565,0.33651,0.3668,0.22214,1.24705,0.72753,0.99335,0.004753,0.004753,0.004753
55,49599.2,1.28944,0.81051,1.02714,0.64647,0.33846,0.36759,0.22262,1.24649,0.72648,0.99297,0.004654,0.004654,0.004654
56,50512.3,1.28992,0.80809,1.02706,0.64396,0.33981,0.36793,0.22311,1.24607,0.72544,0.99258,0.004555,0.004555,0.004555
57,51425.1,1.28868,0.80988,1.02605,0.64955,0.33701,0.36858,0.22355,1.24579,0.72449,0.99214,0.004456,0.004456,0.004456
58,52338.6,1.28778,0.8077,1.02578,0.64972,0.33765,0.36936,0.2243,1.24527,0.72366,0.99173,0.004357,0.004357,0.004357
59,53250.8,1.28634,0.80635,1.02516,0.64754,0.33856,0.37022,0.22481,1.24498,0.72299,0.99134,0.004258,0.004258,0.004258
60,54162.6,1.2869,0.80746,1.02542,0.65082,0.33796,0.37076,0.22515,1.24463,0.72225,0.99095,0.004159,0.004159,0.004159
61,55076,1.2833,0.80529,1.02427,0.65272,0.33813,0.37128,0.22553,1.24423,0.72171,0.99052,0.00406,0.00406,0.00406
62,55988.7,1.28327,0.80457,1.0241,0.65699,0.3384,0.37194,0.22574,1.24382,0.72133,0.9903,0.003961,0.003961,0.003961
63,56902.4,1.28084,0.80003,1.02266,0.48789,0.33898,0.3718,0.22537,1.24349,0.72114,0.98996,0.003862,0.003862,0.003862
64,57815.5,1.28031,0.79984,1.02208,0.49074,0.33871,0.37205,0.22544,1.24315,0.72092,0.98961,0.003763,0.003763,0.003763
65,58581.1,1.2788,0.79955,1.0226,0.48856,0.33902,0.37186,0.22563,1.24277,0.72117,0.98939,0.003664,0.003664,0.003664
66,59456.5,1.27708,0.79609,1.02184,0.49212,0.33858,0.37233,0.22597,1.24235,0.7215,0.98916,0.003565,0.003565,0.003565
67,60370,1.27649,0.7962,1.02113,0.48935,0.3401,0.37284,0.2263,1.24194,0.72084,0.98897,0.003466,0.003466,0.003466
68,61253.4,1.2772,0.79475,1.02095,0.49113,0.34054,0.37359,0.22663,1.24148,0.7197,0.98855,0.003367,0.003367,0.003367
69,62167.2,1.27464,0.79475,1.02,0.48881,0.341,0.37343,0.22645,1.24121,0.71842,0.98825,0.003268,0.003268,0.003268
70,63080.4,1.27225,0.79228,1.01953,0.6518,0.34178,0.37305,0.22682,1.2407,0.7175,0.98793,0.003169,0.003169,0.003169
71,63937.5,1.27174,0.79166,1.01955,0.64682,0.3448,0.37314,0.22708,1.24028,0.71683,0.98767,0.00307,0.00307,0.00307
72,64771,1.27293,0.79212,1.02016,0.65315,0.34291,0.37447,0.22787,1.23974,0.71625,0.98748,0.002971,0.002971,0.002971
73,65685.4,1.27336,0.79182,1.01952,0.64854,0.34593,0.37494,0.22821,1.23927,0.71566,0.98727,0.002872,0.002872,0.002872
74,66599,1.26864,0.78871,1.01843,0.65091,0.34583,0.37491,0.22793,1.23875,0.71541,0.98702,0.002773,0.002773,0.002773
75,67512.8,1.26686,0.78785,1.01847,0.65259,0.34474,0.37458,0.22754,1.23846,0.7152,0.98689,0.002674,0.002674,0.002674
76,68381,1.26781,0.78655,1.01793,0.48508,0.34546,0.37498,0.22779,1.23803,0.71493,0.98673,0.002575,0.002575,0.002575
77,69294,1.26513,0.78467,1.01718,0.48678,0.34446,0.37479,0.22778,1.23772,0.71469,0.98667,0.002476,0.002476,0.002476
78,70207.9,1.26547,0.78285,1.01752,0.48636,0.34524,0.37495,0.22779,1.2375,0.71463,0.98659,0.002377,0.002377,0.002377
79,71121.6,1.26397,0.78432,1.01602,0.49007,0.34372,0.37514,0.22804,1.23726,0.71427,0.98644,0.002278,0.002278,0.002278
80,72035.3,1.26217,0.78164,1.01584,0.48526,0.34715,0.37584,0.22847,1.23706,0.71374,0.98632,0.002179,0.002179,0.002179
81,72948.9,1.26214,0.782,1.01571,0.48973,0.34611,0.37636,0.22856,1.23672,0.71335,0.98608,0.00208,0.00208,0.00208
82,73862.9,1.26262,0.78039,1.01483,0.65698,0.34452,0.37755,0.22931,1.23662,0.71288,0.98582,0.001981,0.001981,0.001981
83,74777.8,1.26174,0.77859,1.01466,0.65544,0.34678,0.37798,0.22951,1.23646,0.71273,0.98557,0.001882,0.001882,0.001882
84,75691.5,1.25934,0.77926,1.01529,0.65149,0.34842,0.37814,0.22954,1.23645,0.71266,0.98542,0.001783,0.001783,0.001783
85,76605.7,1.25708,0.77529,1.01346,0.65175,0.34795,0.37884,0.23001,1.23625,0.71233,0.98514,0.001684,0.001684,0.001684
86,77518.8,1.2565,0.77516,1.01333,0.64986,0.34994,0.37931,0.23012,1.23633,0.71202,0.98498,0.001585,0.001585,0.001585
87,78432.7,1.25635,0.7748,1.01353,0.65322,0.34854,0.37932,0.23029,1.23612,0.71183,0.98488,0.001486,0.001486,0.001486
88,79346.8,1.25415,0.77363,1.01251,0.65423,0.34906,0.37999,0.23061,1.23581,0.71168,0.98467,0.001387,0.001387,0.001387
89,80229.3,1.25414,0.77296,1.01346,0.65445,0.34932,0.37991,0.2308,1.23563,0.71136,0.98451,0.001288,0.001288,0.001288
90,81144.1,1.25366,0.77387,1.01287,0.65268,0.35005,0.38041,0.23104,1.23536,0.71099,0.98431,0.001189,0.001189,0.001189
91,82058.4,1.29159,0.74465,1.01033,0.65422,0.35076,0.38083,0.2312,1.23492,0.71075,0.98412,0.00109,0.00109,0.00109
92,82914.1,1.28618,0.74011,1.00889,0.65742,0.34997,0.38144,0.23143,1.23463,0.71019,0.9839,0.000991,0.000991,0.000991
93,83801.1,1.28554,0.73902,1.0089,0.65588,0.34971,0.38142,0.2316,1.23426,0.70976,0.98376,0.000892,0.000892,0.000892
94,84714.6,1.28402,0.73769,1.00837,0.65862,0.34879,0.38183,0.23175,1.23412,0.70938,0.98365,0.000793,0.000793,0.000793
95,85604.9,1.28274,0.73683,1.00818,0.66124,0.34788,0.38252,0.23212,1.23389,0.709,0.98358,0.000694,0.000694,0.000694
96,86517.4,1.28112,0.73527,1.00666,0.65665,0.35037,0.38247,0.23207,1.23358,0.7087,0.98338,0.000595,0.000595,0.000595
97,87406.4,1.28068,0.73451,1.00779,0.66047,0.3482,0.38276,0.23229,1.23333,0.70835,0.98329,0.000496,0.000496,0.000496
98,88291.5,1.28002,0.73273,1.00654,0.65586,0.35005,0.38297,0.23252,1.23307,0.70811,0.98308,0.000397,0.000397,0.000397
99,89174.4,1.27815,0.73149,1.00558,0.65567,0.35095,0.38294,0.23255,1.23294,0.70786,0.98285,0.000298,0.000298,0.000298
100,90089.3,1.27847,0.73139,1.00556,0.65678,0.3508,0.38318,0.23247,1.23297,0.70766,0.9827,0.000199,0.000199,0.000199
